PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change
129758,Fix flaky tests in advantage_air,2024-11-03 22:21:21+00:00,2024-11-03 23:25:39+00:00,merged,2,1,0,https://github.com/home-assistant/core/pull/129758,Code quality improvements to existing code or addition of tests
129755,Add HassRespond intent,2024-11-03 21:07:40+00:00,2024-11-04 00:15:25+00:00,merged,3,1,0,https://github.com/home-assistant/core/pull/129755,New feature (which adds functionality to an existing integration)
129752,Cleanup unnecessary OptionsFlowWithConfigEntry (part 1),2024-11-03 20:44:45+00:00,2024-11-03 21:57:20+00:00,merged,30,0,0,https://github.com/home-assistant/core/pull/129752,Code quality improvements to existing code or addition of tests
129738,"Revert ""Disable cleanup_closed on python 3.12.7+ and 3.13.1+""",2024-11-03 16:29:53+00:00,2024-11-03 16:31:12+00:00,closed,1,0,0,https://github.com/home-assistant/core/pull/129738,
129736,Small cleanup mold_indicator,2024-11-03 16:27:08+00:00,2024-11-03 18:17:39+00:00,merged,1,0,0,https://github.com/home-assistant/core/pull/129736,Code quality improvements to existing code or addition of tests
129735,Fix advantage_air CI failure,2024-11-03 16:23:48+00:00,2024-11-03 16:29:35+00:00,merged,2,0,0,https://github.com/home-assistant/core/pull/129735,Code quality improvements to existing code or addition of tests
129733,Add issue/repair on corrupt database rebuild,2024-11-03 16:04:56+00:00,2024-11-03 20:43:45+00:00,closed,3,0,0,https://github.com/home-assistant/core/pull/129733,New feature (which adds functionality to an existing integration)
129729,Bump spotifyaio to 0.8.3,2024-11-03 14:40:01+00:00,2024-11-03 20:55:15+00:00,merged,3,0,0,https://github.com/home-assistant/core/pull/129729,Bugfix (non-breaking change which fixes an issue)
129725,Correct length of the serials in lamarzocco tests,2024-11-03 12:24:17+00:00,2024-11-03 12:42:39+00:00,merged,10,0,0,https://github.com/home-assistant/core/pull/129725,Code quality improvements to existing code or addition of tests
129724,Add Measurement StateClass to HomematicIP Cloud Wind and Rain Sensor,2024-11-03 11:44:26+00:00,2024-11-03 20:08:00+00:00,merged,2,0,0,https://github.com/home-assistant/core/pull/129724,Bugfix (non-breaking change which fixes an issue)
